Company,Date,Open Price,High Price,Low Price,Close Price,Adjusted Close,Volume,Price Change (%),7-Day Moving Avg,30-Day Moving Avg,Volatility
MSFT,2023-03-07,256.2999878,257.6900024,253.3899994,254.1499939,25415.00%,21473200,-0.8388583700119858,251.89571272857143,258.27350083,3.7138074900580973
MSFT,2023-03-08,254.0399933,254.5399933,250.8099976,253.6999969,25370.00%,17340200,-0.1338357774236289,252.40142604285717,258.05571492857143,3.678920364385721
MSFT,2023-03-09,255.8200073,259.5599976,251.5800018,252.3200073,25232.00%,26653400,-1.3681494410621104,252.81571305714286,257.79500094545455,3.442939906606847
MSFT,2023-03-10,251.0800018,252.7899933,247.6000061,248.5899963,24859.00%,28333900,-0.9917179712239413,253.14714048571432,257.39478335217393,2.7496812299619604
MSFT,2023-03-13,247.3999939,257.9100037,245.7299957,253.9199982,25392.00%,33339700,2.6354100488116505,253.54856871428572,257.2500006375,2.6039661727236845
MSFT,2023-03-14,256.75,261.0700073,255.8600006,260.7900085,26079.00%,33620300,1.573518403115871,254.33428517142858,257.39160095200003,3.780834940798008
MSFT,2023-03-15,259.980011,266.480011,259.2099915,265.4400024,26544.00%,46028000,2.100158154082098,255.55857192857144,257.70115485384616,5.659553294658495
MSFT,2023-03-16,265.2099915,276.5599976,263.2799988,276.2000122,27620.00%,54768800,4.143893915097841,258.70857454285715,258.3862977185185,9.546470640126705
MSFT,2023-03-17,278.2600098,283.3299866,276.3200073,279.4299927,27943.00%,69527400,0.4204639038289995,262.38428822857145,259.13785825357144,11.947983322441312
MSFT,2023-03-20,276.980011,277.480011,269.8500061,272.230011,27223.00%,43466600,-1.7149251972554802,265.2285744714286,259.5893117965517,11.514806334335272
MSFT,2023-03-21,274.8800049,275.0,269.519989,273.7799988,27378.00%,34558700,-0.4001768336697341,268.82714625714283,260.06233469666665,9.139485139633171
MSFT,2023-03-22,273.3999939,281.0400085,272.1799927,272.2900085,27229.00%,34873300,-0.4059932058396537,271.45143344285714,260.2200017266667,6.360572573664904
MSFT,2023-03-23,277.9400024,281.0599976,275.2000122,277.6600037,27766.00%,36610900,-0.10074069856164808,273.86143275714284,260.5843348166667,4.600090338802183
MSFT,2023-03-24,277.2399902,280.6300049,275.2799988,280.5700073,28057.00%,28172000,1.2011315891324699,276.0228620285714,261.14933522333337,3.3750810958156325
MSFT,2023-03-27,280.5,281.4599915,275.519989,276.3800049,27638.00%,26840200,-1.468803957219245,276.04857527142855,261.59200185,3.3773405482065266
MSFT,2023-03-28,275.7900085,276.1400146,272.0499878,275.230011,27523.00%,21878600,-0.20305213486369236,275.4485778857143,261.72233530666665,3.03190426056862
MSFT,2023-03-29,278.9599915,281.1400146,278.4100037,280.5100098,28051.00%,25087000,0.5556417935293694,276.63143485714284,262.00033518666663,3.1785616923554496
MSFT,2023-03-30,284.230011,284.4599915,281.480011,284.0499878,28405.00%,25053400,-0.06333715407694712,278.0985761428571,262.49133453666667,3.9254775060902873
MSFT,2023-03-31,283.730011,289.269989,283.0,288.2999878,28830.00%,32766000,1.6106779765359422,280.38571604285715,263.363001,4.585639199111425
MSFT,2023-04-03,286.519989,288.269989,283.9500122,287.230011,28723.00%,24883300,0.24780888847513563,281.7528599428571,264.33533478,5.041491342975484
MSFT,2023-04-04,287.230011,290.4500122,285.6700134,287.1799927,28718.00%,25824300,-0.017414022937866522,282.69714357142857,265.48566793,5.390002139121461
MSFT,2023-04-05,285.8500061,287.1499939,282.9200134,284.3399963,28434.00%,22064800,-0.5282524987848785,283.8342852,266.5800013233333,4.619773170263334
MSFT,2023-04-06,283.2099915,292.0799866,282.0299988,291.6000061,29160.00%,29770300,2.9624712587161572,286.17285592857144,267.80766805,3.560063671909582
MSFT,2023-04-10,289.2099915,289.6000061,284.7099915,289.3900146,28939.00%,23103000,0.06224650091315093,287.4414280428572,269.1466684966667,2.67898230881211
MSFT,2023-04-11,285.75,285.980011,281.6400146,282.8299866,28283.00%,27276600,-1.021876955380583,287.2671421571428,270.2356679266667,2.961209593389291
MSFT,2023-04-12,284.7900085,287.0100098,281.9599915,283.4899902,28349.00%,27403400,-0.4564831142943614,286.57999964285716,271.37133432666667,3.2276804487818453
MSFT,2023-04-13,283.5899963,289.8999939,283.1700134,289.8399963,28984.00%,24222700,2.2038859203581858,286.95285468571427,272.8236673933333,3.457827924578554
MSFT,2023-04-14,287.0,288.480011,283.6900024,286.1400146,28614.00%,20987900,-0.2996464808362466,286.8042863857143,273.99133452666666,3.4687666704711124
MSFT,2023-04-17,289.9299927,291.6000061,286.1600037,288.7999878,28880.00%,23836200,-0.3897509496953873,287.4414280285714,275.1083343433333,3.348196168138429
MSFT,2023-04-18,291.5700073,291.7600098,287.0100098,288.3699951,28837.00%,20161800,-1.0975107589538422,286.9799978857143,276.1583343433333,2.867651369873843
MSFT,2023-04-19,285.9899902,289.0499878,284.5400085,288.4500122,28845.00%,17150300,0.8601776580640551,286.84571182857144,277.30166828666665,2.7558144162208413
MSFT,2023-04-20,285.25,289.0299988,285.0799866,286.1099854,28611.00%,23244400,0.30148480280456713,287.31428308571424,278.38200123666667,2.1773611584160655
MSFT,2023-04-21,285.0100098,286.269989,283.0599976,285.7600098,28576.00%,21676400,0.2631486524021726,287.6385716,279.49666798666664,1.6072656787512711
MSFT,2023-04-24,282.0899963,284.9500122,278.7200012,281.769989,28177.00%,26611000,-0.11344156269180898,286.4857134142857,280.60266774333337,2.4423429605341633
MSFT,2023-04-25,279.5100098,281.6000061,275.3699951,275.4200134,27542.00%,45772200,-1.4632736777214201,284.9542846714286,281.31933491666666,4.859758670209283
MSFT,2023-04-26,296.7000122,299.5700073,292.730011,295.3699951,29537.00%,64599200,-0.44826998493801223,285.89285714285717,282.4720011366666,6.181082553322517
MSFT,2023-04-27,295.9700012,305.2000122,295.25,304.8299866,30483.00%,46462600,2.9935416981712573,288.2442845,283.78500060999994,9.513226533729748
MSFT,2023-04-28,304.0100098,308.9299927,303.3099976,307.2600098,30726.00%,36446700,1.0690437469930967,290.9314270142857,284.8203338633333,11.93048766149355
MSFT,2023-05-01,306.9700012,308.6000061,305.1499939,305.5599976,30556.00%,21294100,-0.45932944407860227,293.71000018571425,285.6913340266666,12.849933275473198
MSFT,2023-05-02,307.7600098,309.1799927,303.9100037,305.4100037,30541.00%,26404400,-0.7635839697065064,296.5171421714286,286.79733378333333,12.969529182602779
MSFT,2023-05-03,306.6199951,308.6099854,304.0899963,304.3999939,30440.00%,22360800,-0.7240236238592113,299.7500000142857,287.8180002866667,11.407259086494866
MSFT,2023-05-04,306.2399902,307.7600098,303.3999939,305.4100037,30541.00%,22519900,-0.2710248584640982,304.0342843428571,288.92200012666666,3.9233299379736293
MSFT,2023-05-05,305.7200012,311.9700012,304.269989,310.6499939,31065.00%,28181200,1.6125842864873094,306.2171413142857,290.02166646666666,2.148594880760627
NFLX,2023-02-07,358.5100098,364.1799927,354.1799927,362.9500122,36295.00%,6289400,1.238459813849255,362.9500122,362.9500122,
NFLX,2023-02-08,360.019989,368.1900024,358.3099976,366.8299866,36683.00%,6253200,1.8915609710770738,364.88999939999997,364.88999939999997,2.743556209070212
NFLX,2023-02-09,372.4100037,373.8299866,361.7399902,362.5,36250.00%,6901100,-2.6610465888513417,364.09333293333333,364.09333293333333,2.380668543392229
NFLX,2023-02-10,359.1600037,362.1400146,347.1400146,347.3599854,34736.00%,7291100,-3.285448874718334,359.90999605,359.90999605,8.589506295095944
NFLX,2023-02-13,349.5,359.7000122,344.25,358.5700073,35857.00%,7134400,2.5951379971387656,359.64199829999995,359.64199829999995,7.462829742473358
NFLX,2023-02-14,357.5499878,363.75,353.3999939,359.9599915,35996.00%,4624800,0.6740326617905157,359.6949971666666,359.6949971666666,6.676220150004318
NFLX,2023-02-15,356.6300049,362.8800049,354.2399902,361.4200134,36142.00%,3966000,1.343131097828723,359.94142805714284,359.94142805714284,6.12930340217407
NFLX,2023-02-16,355.0,361.5,350.3099976,350.7099915,35071.00%,5215700,-1.208453098591549,358.19285367142857,358.7874984875,6.8334400422076955
